Car1 gas level: 6

Car1 is filling up

Car1 gas level: 15

Car1 is off

-----------
Mileage: 	1001, Fuel (Gal Left): 15
Mileage: 	70, Fuel (Gal Left): 6
Mileage: 	71, Fuel (Gal Left): 6
Mileage: 	72, Fuel (Gal Left): 6
Mileage: 	73, Fuel (Gal Left): 6
Mileage: 	74, Fuel (Gal Left): 6
Mileage: 	75, Fuel (Gal Left): 6
Mileage: 	76, Fuel (Gal Left): 6
Mileage: 	77, Fuel (Gal Left): 6
Mileage: 	78, Fuel (Gal Left): 6
Mileage: 	79, Fuel (Gal Left): 6
Mileage: 	80, Fuel (Gal Left): 6
Mileage: 	81, Fuel (Gal Left): 6
Mileage: 	82, Fuel (Gal Left): 6
Mileage: 	83, Fuel (Gal Left): 6
Mileage: 	84, Fuel (Gal Left): 6
Mileage: 	85, Fuel (Gal Left): 6
Mileage: 	86, Fuel (Gal Left): 6
Mileage: 	87, Fuel (Gal Left): 6
Mileage: 	88, Fuel (Gal Left): 6
Mileage: 	89, Fuel (Gal Left): 6
Mileage: 	90, Fuel (Gal Left): 5
Mileage: 	91, Fuel (Gal Left): 5
Mileage: 	92, Fuel (Gal Left): 5
Mileage: 	93, Fuel (Gal Left): 5
Mileage: 	94, Fuel (Gal Left): 5
Mileage: 	95, Fuel (Gal Left): 5
Mileage: 	96, Fuel (Gal Left): 5
Mileage: 	97, Fuel (Gal Left): 5
Mileage: 	98, Fuel (Gal Left): 5
Mileage: 	99, Fuel (Gal Left): 5
Mileage: 	100, Fuel (Gal Left): 5
Mileage: 	101, Fuel (Gal Left): 5
Mileage: 	102, Fuel (Gal Left): 5
Mileage: 	103, Fuel (Gal Left): 5
Mileage: 	104, Fuel (Gal Left): 5
Mileage: 	105, Fuel (Gal Left): 5
Mileage: 	106, Fuel (Gal Left): 5
Mileage: 	107, Fuel (Gal Left): 5
Mileage: 	108, Fuel (Gal Left): 5
Mileage: 	109, Fuel (Gal Left): 5
Mileage: 	110, Fuel (Gal Left): 5
Mileage: 	111, Fuel (Gal Left): 5
Mileage: 	112, Fuel (Gal Left): 5
Mileage: 	113, Fuel (Gal Left): 5
Mileage: 	114, Fuel (Gal Left): 4
Mileage: 	115, Fuel (Gal Left): 4
Mileage: 	116, Fuel (Gal Left): 4
Mileage: 	117, Fuel (Gal Left): 4
Mileage: 	118, Fuel (Gal Left): 4
Mileage: 	119, Fuel (Gal Left): 4
Mileage: 	120, Fuel (Gal Left): 4
Mileage: 	121, Fuel (Gal Left): 4
Mileage: 	122, Fuel (Gal Left): 4
Mileage: 	123, Fuel (Gal Left): 4
Mileage: 	124, Fuel (Gal Left): 4
Mileage: 	125, Fuel (Gal Left): 4
Mileage: 	126, Fuel (Gal Left): 4
Mileage: 	127, Fuel (Gal Left): 4
Mileage: 	128, Fuel (Gal Left): 4
Mileage: 	129, Fuel (Gal Left): 4
Mileage: 	130, Fuel (Gal Left): 4
Mileage: 	131, Fuel (Gal Left): 4
Mileage: 	132, Fuel (Gal Left): 4
Mileage: 	133, Fuel (Gal Left): 4
Mileage: 	134, Fuel (Gal Left): 4
Mileage: 	135, Fuel (Gal Left): 4
Mileage: 	136, Fuel (Gal Left): 4
Mileage: 	137, Fuel (Gal Left): 4
Mileage: 	138, Fuel (Gal Left): 3
Mileage: 	139, Fuel (Gal Left): 3
Mileage: 	140, Fuel (Gal Left): 3
Mileage: 	141, Fuel (Gal Left): 3
Mileage: 	142, Fuel (Gal Left): 3
Mileage: 	143, Fuel (Gal Left): 3
Mileage: 	144, Fuel (Gal Left): 3
Mileage: 	145, Fuel (Gal Left): 3
Mileage: 	146, Fuel (Gal Left): 3
Mileage: 	147, Fuel (Gal Left): 3
Mileage: 	148, Fuel (Gal Left): 3
Mileage: 	149, Fuel (Gal Left): 3
Mileage: 	150, Fuel (Gal Left): 3
Mileage: 	151, Fuel (Gal Left): 3
Mileage: 	152, Fuel (Gal Left): 3
Mileage: 	153, Fuel (Gal Left): 3
Mileage: 	154, Fuel (Gal Left): 3
Mileage: 	155, Fuel (Gal Left): 3
Mileage: 	156, Fuel (Gal Left): 3
Mileage: 	157, Fuel (Gal Left): 3
Mileage: 	158, Fuel (Gal Left): 3
Mileage: 	159, Fuel (Gal Left): 3
Mileage: 	160, Fuel (Gal Left): 3
Mileage: 	161, Fuel (Gal Left): 3
Mileage: 	162, Fuel (Gal Left): 2
Mileage: 	163, Fuel (Gal Left): 2
Mileage: 	164, Fuel (Gal Left): 2
Mileage: 	165, Fuel (Gal Left): 2
Mileage: 	166, Fuel (Gal Left): 2
Mileage: 	167, Fuel (Gal Left): 2
Mileage: 	168, Fuel (Gal Left): 2
Mileage: 	169, Fuel (Gal Left): 2
Mileage: 	170, Fuel (Gal Left): 2
Mileage: 	171, Fuel (Gal Left): 2
Mileage: 	172, Fuel (Gal Left): 2
Mileage: 	173, Fuel (Gal Left): 2
Mileage: 	174, Fuel (Gal Left): 2
Mileage: 	175, Fuel (Gal Left): 2
Mileage: 	176, Fuel (Gal Left): 2
Mileage: 	177, Fuel (Gal Left): 2
Mileage: 	178, Fuel (Gal Left): 2
Mileage: 	179, Fuel (Gal Left): 2
Mileage: 	180, Fuel (Gal Left): 2
Mileage: 	181, Fuel (Gal Left): 2
Mileage: 	182, Fuel (Gal Left): 2
Mileage: 	183, Fuel (Gal Left): 2
Mileage: 	184, Fuel (Gal Left): 2
Mileage: 	185, Fuel (Gal Left): 2
Mileage: 	186, Fuel (Gal Left): 1
Mileage: 	187, Fuel (Gal Left): 1
Mileage: 	188, Fuel (Gal Left): 1
Mileage: 	189, Fuel (Gal Left): 1
Mileage: 	190, Fuel (Gal Left): 1
Mileage: 	191, Fuel (Gal Left): 1
Mileage: 	192, Fuel (Gal Left): 1
Mileage: 	193, Fuel (Gal Left): 1
Mileage: 	194, Fuel (Gal Left): 1
Mileage: 	195, Fuel (Gal Left): 1
Mileage: 	196, Fuel (Gal Left): 1
Mileage: 	197, Fuel (Gal Left): 1
Mileage: 	198, Fuel (Gal Left): 1
Mileage: 	199, Fuel (Gal Left): 1
Mileage: 	200, Fuel (Gal Left): 1
Mileage: 	201, Fuel (Gal Left): 1
Mileage: 	202, Fuel (Gal Left): 1
Mileage: 	203, Fuel (Gal Left): 1
Mileage: 	204, Fuel (Gal Left): 1
Mileage: 	205, Fuel (Gal Left): 1
Mileage: 	206, Fuel (Gal Left): 1
Mileage: 	207, Fuel (Gal Left): 1
Mileage: 	208, Fuel (Gal Left): 1
Mileage: 	209, Fuel (Gal Left): 1
Mileage: 	210, Fuel (Gal Left): 0
